query=170 V=125.7149026250 stage1_total=444436244 ltV=360772468 ltV2=36058155 ltV4=1244724 ltV8=3139
query=171 V=131.0874029870 stage1_total=114316727 ltV=105103536 ltV2=14905320 ltV4=999443 ltV8=1510
query=172 V=175.0970894625 stage1_total=188972473 ltV=176452545 ltV2=50262653 ltV4=3126316 ltV8=21678
query=173 V=-1 stage1_total=0 ltV=0 ltV2=0 ltV4=0 ltV8=0
query=174 V=0.0000000000 stage1_total=1166496 ltV=0 ltV2=0 ltV4=0 ltV8=0
query=175 V=133.7099927669 stage1_total=188974018 ltV=183530768 ltV2=30780704 ltV4=1391167 ltV8=5418
query=176 V=0.0000000000 stage1_total=1166496 ltV=0 ltV2=0 ltV4=0 ltV8=0
query=177 V=256.4899548933 stage1_total=743058715 ltV=742819965 ltV2=242273685 ltV4=13863995 ltV8=537171
query=178 V=206.0547513602 stage1_total=188972390 ltV=188750987 ltV2=53943752 ltV4=3486930 ltV8=201161
query=179 V=251.8188541415 stage1_total=188973359 ltV=188345030 ltV2=76780785 ltV4=10756609 ltV8=665694
query=180 V=157.3730277659 stage1_total=114316727 ltV=108433187 ltV2=21512821 ltV4=1396632 ltV8=5624
query=181 V=-1 stage1_total=0 ltV=0 ltV2=0 ltV4=0 ltV8=0
query=182 V=-1 stage1_total=0 ltV=0 ltV2=0 ltV4=0 ltV8=0
query=183 V=215.7076619747 stage1_total=114316618 ltV=111679542 ltV2=28512051 ltV4=2301465 ltV8=133449
query=184 V=126.1482633426 stage1_total=188973687 ltV=180682673 ltV2=24761924 ltV4=972552 ltV8=6001
query=185 V=133.1314347662 stage1_total=444435352 ltV=411952856 ltV2=39266937 ltV4=1302313 ltV8=3033
query=186 V=109.3951555321 stage1_total=114317540 ltV=87558996 ltV2=10914244 ltV4=696737 ltV8=4256
query=187 V=-1 stage1_total=0 ltV=0 ltV2=0 ltV4=0 ltV8=0
query=188 V=166.8155507394 stage1_total=444435979 ltV=435565133 ltV2=80994837 ltV4=4086286 ltV8=48273
query=189 V=-1 stage1_total=0 ltV=0 ltV2=0 ltV4=0 ltV8=0
query=190 V=137.9699734770 stage1_total=47826694 ltV=40265923 ltV2=16072499 ltV4=1259901 ltV8=3049
query=191 V=168.6316955134 stage1_total=444435468 ltV=436872254 ltV2=61272563 ltV4=2752957 ltV8=4785
