# Run started=2026-07-13 20:20:42 graph=Toronto method=ReleaseV4 data_root=data graph_folder=data\Toronto query_file=query.txt run_subdir=default original_query_count=160 query_begin=1 query_limit=-1 query_count=160 result_dir=result\Toronto\ReleaseV4\default rss_mb=15.828 peak_rss_mb=15.832
query=149 best=0.1015641094 wall_ms=205.551 rss_before_mb=17.059 rss_after_mb=16.703 peak_rss_mb=25.953
query=150 best=0.0965557309 wall_ms=217.854 rss_before_mb=16.703 rss_after_mb=16.723 peak_rss_mb=25.953
query=151 best=0.0371680378 wall_ms=199.894 rss_before_mb=16.723 rss_after_mb=16.699 peak_rss_mb=25.953
query=152 best=0.0297075093 wall_ms=196.762 rss_before_mb=16.699 rss_after_mb=16.691 peak_rss_mb=25.953
query=153 best=0.0560638127 wall_ms=207.501 rss_before_mb=16.691 rss_after_mb=17.535 peak_rss_mb=25.953
query=154 best=0.0488610839 wall_ms=197.122 rss_before_mb=17.535 rss_after_mb=17.535 peak_rss_mb=25.953
query=155 best=0.0510503110 wall_ms=199.494 rss_before_mb=17.535 rss_after_mb=16.734 peak_rss_mb=25.953
query=156 best=0.0203568209 wall_ms=196.694 rss_before_mb=16.734 rss_after_mb=17.555 peak_rss_mb=25.953
query=157 best=0.0303019408 wall_ms=192.726 rss_before_mb=17.555 rss_after_mb=17.082 peak_rss_mb=25.953
query=158 best=0.0774333641 wall_ms=227.368 rss_before_mb=17.082 rss_after_mb=16.926 peak_rss_mb=25.953
query=159 best=0.0373479604 wall_ms=182.135 rss_before_mb=16.926 rss_after_mb=17.633 peak_rss_mb=25.953
query=160 best=0.0557724597 wall_ms=231.110 rss_before_mb=17.633 rss_after_mb=17.289 peak_rss_mb=25.953
